,vehicle,country,year,zero_emission_vehicles_percentage
518,Passenger cars,Portugal,2022,11.643
519,Passenger cars,Portugal,2023,18.206
520,Passenger cars,Romania,2014,0.024
521,Passenger cars,Romania,2015,0.034
522,Passenger cars,Romania,2016,0.072
523,Passenger cars,Romania,2017,0.217
524,Passenger cars,Romania,2018,0.461
525,Passenger cars,Romania,2019,0.932
526,Passenger cars,Romania,2020,2.251
527,Passenger cars,Romania,2021,5.233
528,Passenger cars,Romania,2022,8.999
529,Passenger cars,Romania,2023,10.626
530,Passenger cars,Sweden,2014,0.39
531,Passenger cars,Sweden,2015,0.806
532,Passenger cars,Sweden,2016,0.776
533,Passenger cars,Sweden,2017,1.113
534,Passenger cars,Sweden,2018,1.956
535,Passenger cars,Sweden,2019,4.304
536,Passenger cars,Sweden,2020,9.526
537,Passenger cars,Sweden,2021,18.955
538,Passenger cars,Sweden,2022,32.912
539,Passenger cars,Sweden,2023,38.629
540,Passenger cars,Slovenia,2014,0.024
541,Passenger cars,Slovenia,2015,0.202
542,Passenger cars,Slovenia,2016,0.232
543,Passenger cars,Slovenia,2017,0.409
544,Passenger cars,Slovenia,2018,0.699
545,Passenger cars,Slovenia,2019,0.955
546,Passenger cars,Slovenia,2020,3.222
547,Passenger cars,Slovenia,2021,3.26
548,Passenger cars,Slovenia,2022,5.019
549,Passenger cars,Slovenia,2023,8.886
550,Passenger cars,Slovakia,2014,0.033
551,Passenger cars,Slovakia,2015,0.019
552,Passenger cars,Slovakia,2016,0.062
553,Passenger cars,Slovakia,2017,0.222
554,Passenger cars,Slovakia,2018,0.305
555,Passenger cars,Slovakia,2019,0.163
556,Passenger cars,Slovakia,2020,1.188
557,Passenger cars,Slovakia,2021,1.505
558,Passenger cars,Slovakia,2022,1.918
559,Passenger cars,Slovakia,2023,2.9
560,Lorries > 3.5 tonnes,Austria,2014,0.0
561,Lorries > 3.5 tonnes,Austria,2015,0.0
562,Lorries > 3.5 tonnes,Austria,2016,0.0
563,Lorries > 3.5 tonnes,Austria,2017,0.0
564,Lorries > 3.5 tonnes,Austria,2018,0.232
565,Lorries > 3.5 tonnes,Austria,2019,0.043
566,Lorries > 3.5 tonnes,Austria,2020,0.0
567,Lorries > 3.5 tonnes,Austria,2021,1.011
568,Lorries > 3.5 tonnes,Austria,2022,1.82
569,Lorries > 3.5 tonnes,Austria,2023,1.139
570,Lorries > 3.5 tonnes,Belgium,2014,0.027
571,Lorries > 3.5 tonnes,Belgium,2015,0.0
572,Lorries > 3.5 tonnes,Belgium,2016,0.025
573,Lorries > 3.5 tonnes,Belgium,2017,0.0
574,Lorries > 3.5 tonnes,Belgium,2018,0.02
575,Lorries > 3.5 tonnes,Belgium,2019,0.0
576,Lorries > 3.5 tonnes,Belgium,2020,0.069
577,Lorries > 3.5 tonnes,Belgium,2021,0.074
578,Lorries > 3.5 tonnes,Belgium,2022,0.53
579,Lorries > 3.5 tonnes,Belgium,2023,1.362
580,Lorries > 3.5 tonnes,Bulgaria,2014,0.0
581,Lorries > 3.5 tonnes,Bulgaria,2015,0.0
582,Lorries > 3.5 tonnes,Bulgaria,2016,0.0
583,Lorries > 3.5 tonnes,Bulgaria,2017,0.0
584,Lorries > 3.5 tonnes,Bulgaria,2018,0.0
585,Lorries > 3.5 tonnes,Bulgaria,2019,0.0
586,Lorries > 3.5 tonnes,Bulgaria,2020,0.0
587,Lorries > 3.5 tonnes,Bulgaria,2021,0.0
588,Lorries > 3.5 tonnes,Bulgaria,2022,0.0
589,Lorries > 3.5 tonnes,Bulgaria,2023,0.0
590,Lorries > 3.5 tonnes,Cyprus,2014,0.0
591,Lorries > 3.5 tonnes,Cyprus,2015,0.0
592,Lorries > 3.5 tonnes,Cyprus,2016,0.0
593,Lorries > 3.5 tonnes,Cyprus,2017,0.0
594,Lorries > 3.5 tonnes,Cyprus,2018,0.0
595,Lorries > 3.5 tonnes,Cyprus,2019,0.0
596,Lorries > 3.5 tonnes,Cyprus,2020,0.0
597,Lorries > 3.5 tonnes,Cyprus,2021,0.0
598,Lorries > 3.5 tonnes,Cyprus,2022,0.0
599,Lorries > 3.5 tonnes,Cyprus,2023,0.0
600,Lorries > 3.5 tonnes,Czechia,2014,0.0
601,Lorries > 3.5 tonnes,Czechia,2015,0.0
602,Lorries > 3.5 tonnes,Czechia,2016,0.0
603,Lorries > 3.5 tonnes,Czechia,2017,0.0
604,Lorries > 3.5 tonnes,Czechia,2018,0.0
605,Lorries > 3.5 tonnes,Czechia,2019,0.0
606,Lorries > 3.5 tonnes,Czechia,2020,0.143
607,Lorries > 3.5 tonnes,Czechia,2021,0.087
608,Lorries > 3.5 tonnes,Czechia,2022,0.044
609,Lorries > 3.5 tonnes,Czechia,2023,0.112
610,Lorries > 3.5 tonnes,Germany,2014,0.0
611,Lorries > 3.5 tonnes,Germany,2015,0.0
612,Lorries > 3.5 tonnes,Germany,2016,0.025
613,Lorries > 3.5 tonnes,Germany,2017,0.07
614,Lorries > 3.5 tonnes,Germany,2018,0.556
615,Lorries > 3.5 tonnes,Germany,2019,1.199
616,Lorries > 3.5 tonnes,Germany,2020,2.185
617,Lorries > 3.5 tonnes,Germany,2021,2.473
618,Lorries > 3.5 tonnes,Germany,2022,2.197
619,Lorries > 3.5 tonnes,Germany,2023,4.395
620,Lorries > 3.5 tonnes,Denmark,2014,0.0
621,Lorries > 3.5 tonnes,Denmark,2015,0.0
622,Lorries > 3.5 tonnes,Denmark,2016,0.0
623,Lorries > 3.5 tonnes,Denmark,2017,0.0
624,Lorries > 3.5 tonnes,Denmark,2018,0.0
625,Lorries > 3.5 tonnes,Denmark,2019,0.132
626,Lorries > 3.5 tonnes,Denmark,2020,0.813
627,Lorries > 3.5 tonnes,Denmark,2021,1.211
628,Lorries > 3.5 tonnes,Denmark,2022,4.232
629,Lorries > 3.5 tonnes,Denmark,2023,12.864
630,Lorries > 3.5 tonnes,Estonia,2014,0.0
631,Lorries > 3.5 tonnes,Estonia,2015,0.0
632,Lorries > 3.5 tonnes,Estonia,2016,0.0
633,Lorries > 3.5 tonnes,Estonia,2017,0.0
634,Lorries > 3.5 tonnes,Estonia,2018,0.0
635,Lorries > 3.5 tonnes,Estonia,2019,0.0
636,Lorries > 3.5 tonnes,Estonia,2020,0.0
637,Lorries > 3.5 tonnes,Estonia,2021,0.0
638,Lorries > 3.5 tonnes,Estonia,2022,0.387
639,Lorries > 3.5 tonnes,Estonia,2023,0.0
640,Lorries > 3.5 tonnes,Greece,2014,0.0
641,Lorries > 3.5 tonnes,Greece,2015,0.0
642,Lorries > 3.5 tonnes,Greece,2016,0.0
643,Lorries > 3.5 tonnes,Greece,2017,0.0
644,Lorries > 3.5 tonnes,Greece,2018,0.0
645,Lorries > 3.5 tonnes,Greece,2019,0.0
646,Lorries > 3.5 tonnes,Greece,2020,0.0
647,Lorries > 3.5 tonnes,Greece,2021,0.0
648,Lorries > 3.5 tonnes,Greece,2022,0.0
649,Lorries > 3.5 tonnes,Greece,2023,0.44
650,Lorries > 3.5 tonnes,Spain,2014,0.0
651,Lorries > 3.5 tonnes,Spain,2015,0.0
652,Lorries > 3.5 tonnes,Spain,2016,0.03
653,Lorries > 3.5 tonnes,Spain,2017,0.041
654,Lorries > 3.5 tonnes,Spain,2018,0.067
655,Lorries > 3.5 tonnes,Spain,2019,0.044
656,Lorries > 3.5 tonnes,Spain,2020,0.115
657,Lorries > 3.5 tonnes,Spain,2021,0.277
658,Lorries > 3.5 tonnes,Spain,2022,2.222
659,Lorries > 3.5 tonnes,Spain,2023,2.43
660,Lorries > 3.5 tonnes,European Union (Avg),2014,0.018
661,Lorries > 3.5 tonnes,European Union (Avg),2015,0.007
662,Lorries > 3.5 tonnes,European Union (Avg),2016,0.024
663,Lorries > 3.5 tonnes,European Union (Avg),2017,0.045
664,Lorries > 3.5 tonnes,European Union (Avg),2018,0.219
665,Lorries > 3.5 tonnes,European Union (Avg),2019,0.438
666,Lorries > 3.5 tonnes,European Union (Avg),2020,0.817
667,Lorries > 3.5 tonnes,European Union (Avg),2021,0.997
668,Lorries > 3.5 tonnes,European Union (Avg),2022,1.588
669,Lorries > 3.5 tonnes,European Union (Avg),2023,3.21
670,Lorries > 3.5 tonnes,Finland,2014,0.0
671,Lorries > 3.5 tonnes,Finland,2015,0.036
672,Lorries > 3.5 tonnes,Finland,2016,0.0
673,Lorries > 3.5 tonnes,Finland,2017,0.0
674,Lorries > 3.5 tonnes,Finland,2018,0.0
675,Lorries > 3.5 tonnes,Finland,2019,0.0
676,Lorries > 3.5 tonnes,Finland,2020,0.145
677,Lorries > 3.5 tonnes,Finland,2021,0.056
678,Lorries > 3.5 tonnes,Finland,2022,0.448
679,Lorries > 3.5 tonnes,Finland,2023,0.962
680,Lorries > 3.5 tonnes,France,2014,0.072
681,Lorries > 3.5 tonnes,France,2015,0.007
682,Lorries > 3.5 tonnes,France,2016,0.005
683,Lorries > 3.5 tonnes,France,2017,0.015
684,Lorries > 3.5 tonnes,France,2018,0.004
685,Lorries > 3.5 tonnes,France,2019,0.019
686,Lorries > 3.5 tonnes,France,2020,0.108
687,Lorries > 3.5 tonnes,France,2021,0.178
688,Lorries > 3.5 tonnes,France,2022,2.78
689,Lorries > 3.5 tonnes,France,2023,2.711
690,Lorries > 3.5 tonnes,Croatia,2014,0.269
691,Lorries > 3.5 tonnes,Croatia,2015,0.0
692,Lorries > 3.5 tonnes,Croatia,2016,0.0
693,Lorries > 3.5 tonnes,Croatia,2017,0.0
694,Lorries > 3.5 tonnes,Croatia,2018,0.0
695,Lorries > 3.5 tonnes,Croatia,2019,0.0
696,Lorries > 3.5 tonnes,Croatia,2020,0.0
697,Lorries > 3.5 tonnes,Croatia,2021,0.0
698,Lorries > 3.5 tonnes,Croatia,2022,0.0
699,Lorries > 3.5 tonnes,Croatia,2023,0.0
700,Lorries > 3.5 tonnes,Hungary,2014,0.0
701,Lorries > 3.5 tonnes,Hungary,2015,0.0
702,Lorries > 3.5 tonnes,Hungary,2016,0.0
703,Lorries > 3.5 tonnes,Hungary,2017,0.072
704,Lorries > 3.5 tonnes,Hungary,2018,0.0
705,Lorries > 3.5 tonnes,Hungary,2019,0.0
706,Lorries > 3.5 tonnes,Hungary,2020,0.0
707,Lorries > 3.5 tonnes,Hungary,2021,1.034
708,Lorries > 3.5 tonnes,Hungary,2022,0.223
709,Lorries > 3.5 tonnes,Hungary,2023,2.298
710,Lorries > 3.5 tonnes,Ireland,2014,0.0
711,Lorries > 3.5 tonnes,Ireland,2015,0.0
712,Lorries > 3.5 tonnes,Ireland,2016,0.0
713,Lorries > 3.5 tonnes,Ireland,2017,0.0
714,Lorries > 3.5 tonnes,Ireland,2018,0.0
715,Lorries > 3.5 tonnes,Ireland,2019,0.0
716,Lorries > 3.5 tonnes,Ireland,2020,0.405
717,Lorries > 3.5 tonnes,Ireland,2021,0.542
718,Lorries > 3.5 tonnes,Ireland,2022,0.624
719,Lorries > 3.5 tonnes,Ireland,2023,0.983
720,Lorries > 3.5 tonnes,Italy,2014,0.0
721,Lorries > 3.5 tonnes,Italy,2015,0.0
722,Lorries > 3.5 tonnes,Italy,2016,0.023
723,Lorries > 3.5 tonnes,Italy,2017,0.124
724,Lorries > 3.5 tonnes,Italy,2018,0.0
725,Lorries > 3.5 tonnes,Italy,2019,0.099
726,Lorries > 3.5 tonnes,Italy,2020,0.182
727,Lorries > 3.5 tonnes,Italy,2021,0.064
728,Lorries > 3.5 tonnes,Italy,2022,0.162
729,Lorries > 3.5 tonnes,Italy,2023,0.58
730,Lorries > 3.5 tonnes,Lithuania,2014,0.0
731,Lorries > 3.5 tonnes,Lithuania,2015,0.0
732,Lorries > 3.5 tonnes,Lithuania,2016,0.0
733,Lorries > 3.5 tonnes,Lithuania,2017,0.0
734,Lorries > 3.5 tonnes,Lithuania,2018,0.0
735,Lorries > 3.5 tonnes,Lithuania,2019,0.0
736,Lorries > 3.5 tonnes,Lithuania,2020,0.0
737,Lorries > 3.5 tonnes,Lithuania,2021,0.0
738,Lorries > 3.5 tonnes,Lithuania,2022,0.317
739,Lorries > 3.5 tonnes,Lithuania,2023,0.0
740,Lorries > 3.5 tonnes,Luxembourg,2014,0.0
741,Lorries > 3.5 tonnes,Luxembourg,2015,0.0
742,Lorries > 3.5 tonnes,Luxembourg,2016,0.0
743,Lorries > 3.5 tonnes,Luxembourg,2017,0.0
744,Lorries > 3.5 tonnes,Luxembourg,2018,0.0
745,Lorries > 3.5 tonnes,Luxembourg,2019,0.0
746,Lorries > 3.5 tonnes,Luxembourg,2020,0.236
747,Lorries > 3.5 tonnes,Luxembourg,2021,0.0
748,Lorries > 3.5 tonnes,Luxembourg,2022,0.0
749,Lorries > 3.5 tonnes,Luxembourg,2023,1.985
750,Lorries > 3.5 tonnes,Latvia,2014,0.0
751,Lorries > 3.5 tonnes,Latvia,2015,0.0
752,Lorries > 3.5 tonnes,Latvia,2016,0.0
753,Lorries > 3.5 tonnes,Latvia,2017,0.0
754,Lorries > 3.5 tonnes,Latvia,2018,0.0
755,Lorries > 3.5 tonnes,Latvia,2019,0.0
756,Lorries > 3.5 tonnes,Latvia,2020,0.0
757,Lorries > 3.5 tonnes,Latvia,2021,0.0
758,Lorries > 3.5 tonnes,Latvia,2022,0.0
759,Lorries > 3.5 tonnes,Latvia,2023,0.269
760,Lorries > 3.5 tonnes,Malta,2014,0.0
761,Lorries > 3.5 tonnes,Malta,2015,0.0
762,Lorries > 3.5 tonnes,Malta,2016,0.0
763,Lorries > 3.5 tonnes,Malta,2017,0.0
764,Lorries > 3.5 tonnes,Malta,2018,0.0
765,Lorries > 3.5 tonnes,Malta,2019,0.0
766,Lorries > 3.5 tonnes,Malta,2020,0.0
767,Lorries > 3.5 tonnes,Malta,2021,0.0
768,Lorries > 3.5 tonnes,Malta,2022,0.0
769,Lorries > 3.5 tonnes,Malta,2023,0.0
770,Lorries > 3.5 tonnes,Netherlands,2014,0.183
771,Lorries > 3.5 tonnes,Netherlands,2015,0.14
772,Lorries > 3.5 tonnes,Netherlands,2016,0.36
773,Lorries > 3.5 tonnes,Netherlands,2017,0.312
774,Lorries > 3.5 tonnes,Netherlands,2018,0.477
775,Lorries > 3.5 tonnes,Netherlands,2019,0.662
776,Lorries > 3.5 tonnes,Netherlands,2020,0.925
777,Lorries > 3.5 tonnes,Netherlands,2021,1.784
778,Lorries > 3.5 tonnes,Netherlands,2022,2.449
779,Lorries > 3.5 tonnes,Netherlands,2023,19.09
780,Lorries > 3.5 tonnes,Poland,2014,0.0
781,Lorries > 3.5 tonnes,Poland,2015,0.036
782,Lorries > 3.5 tonnes,Poland,2016,0.0
783,Lorries > 3.5 tonnes,Poland,2017,0.0
784,Lorries > 3.5 tonnes,Poland,2018,0.0
785,Lorries > 3.5 tonnes,Poland,2019,0.014
786,Lorries > 3.5 tonnes,Poland,2020,0.0
787,Lorries > 3.5 tonnes,Poland,2021,0.075
788,Lorries > 3.5 tonnes,Poland,2022,0.081
789,Lorries > 3.5 tonnes,Poland,2023,1.027
790,Lorries > 3.5 tonnes,Portugal,2014,0.0
791,Lorries > 3.5 tonnes,Portugal,2015,0.0
792,Lorries > 3.5 tonnes,Portugal,2016,0.0
793,Lorries > 3.5 tonnes,Portugal,2017,0.0
794,Lorries > 3.5 tonnes,Portugal,2018,0.749
795,Lorries > 3.5 tonnes,Portugal,2019,0.0
796,Lorries > 3.5 tonnes,Portugal,2020,0.0
797,Lorries > 3.5 tonnes,Portugal,2021,0.168
798,Lorries > 3.5 tonnes,Portugal,2022,0.176
799,Lorries > 3.5 tonnes,Portugal,2023,0.879
800,Lorries > 3.5 tonnes,Romania,2014,0.0
801,Lorries > 3.5 tonnes,Romania,2015,0.0
802,Lorries > 3.5 tonnes,Romania,2016,0.0
803,Lorries > 3.5 tonnes,Romania,2017,0.0
804,Lorries > 3.5 tonnes,Romania,2018,0.0
805,Lorries > 3.5 tonnes,Romania,2019,0.0
806,Lorries > 3.5 tonnes,Romania,2020,0.0
807,Lorries > 3.5 tonnes,Romania,2021,0.0
808,Lorries > 3.5 tonnes,Romania,2022,0.0
809,Lorries > 3.5 tonnes,Romania,2023,0.105
810,Lorries > 3.5 tonnes,Sweden,2014,0.0
811,Lorries > 3.5 tonnes,Sweden,2015,0.0
812,Lorries > 3.5 tonnes,Sweden,2016,0.0
813,Lorries > 3.5 tonnes,Sweden,2017,0.016
814,Lorries > 3.5 tonnes,Sweden,2018,0.065
815,Lorries > 3.5 tonnes,Sweden,2019,0.123
816,Lorries > 3.5 tonnes,Sweden,2020,0.224
817,Lorries > 3.5 tonnes,Sweden,2021,0.728
818,Lorries > 3.5 tonnes,Sweden,2022,2.243
819,Lorries > 3.5 tonnes,Sweden,2023,2.6
820,Lorries > 3.5 tonnes,Slovenia,2014,0.0
821,Lorries > 3.5 tonnes,Slovenia,2015,0.0
822,Lorries > 3.5 tonnes,Slovenia,2016,0.0
823,Lorries > 3.5 tonnes,Slovenia,2017,0.0
824,Lorries > 3.5 tonnes,Slovenia,2018,0.0
825,Lorries > 3.5 tonnes,Slovenia,2019,0.0
826,Lorries > 3.5 tonnes,Slovenia,2020,0.0
827,Lorries > 3.5 tonnes,Slovenia,2021,0.0
828,Lorries > 3.5 tonnes,Slovenia,2022,0.174
829,Lorries > 3.5 tonnes,Slovenia,2023,0.234
830,Lorries > 3.5 tonnes,Slovakia,2014,0.0
831,Lorries > 3.5 tonnes,Slovakia,2015,0.0
832,Lorries > 3.5 tonnes,Slovakia,2016,0.0
833,Lorries > 3.5 tonnes,Slovakia,2017,0.0
834,Lorries > 3.5 tonnes,Slovakia,2018,0.0
835,Lorries > 3.5 tonnes,Slovakia,2019,0.0
836,Lorries > 3.5 tonnes,Slovakia,2020,0.0
837,Lorries > 3.5 tonnes,Slovakia,2021,0.0
838,Lorries > 3.5 tonnes,Slovakia,2022,0.465
839,Lorries > 3.5 tonnes,Slovakia,2023,1.769
840,Road tractors,Austria,2014,0.0
841,Road tractors,Austria,2015,0.0
842,Road tractors,Austria,2016,0.0
843,Road tractors,Austria,2017,0.023
844,Road tractors,Austria,2018,0.076
845,Road tractors,Austria,2019,0.0
846,Road tractors,Austria,2020,0.0
847,Road tractors,Austria,2021,0.0
848,Road tractors,Austria,2022,0.03
849,Road tractors,Austria,2023,0.377
850,Road tractors,Belgium,2014,0.0
851,Road tractors,Belgium,2015,0.0
852,Road tractors,Belgium,2016,0.0
853,Road tractors,Belgium,2017,0.0
854,Road tractors,Belgium,2018,0.0
855,Road tractors,Belgium,2019,0.0
856,Road tractors,Belgium,2020,0.0
857,Road tractors,Belgium,2021,0.0
858,Road tractors,Belgium,2022,0.038
859,Road tractors,Belgium,2023,0.295
860,Road tractors,Bulgaria,2014,0.0
861,Road tractors,Bulgaria,2015,0.0
862,Road tractors,Bulgaria,2016,0.0
863,Road tractors,Bulgaria,2017,0.0
864,Road tractors,Bulgaria,2018,0.0
865,Road tractors,Bulgaria,2019,0.0
866,Road tractors,Bulgaria,2020,0.0
867,Road tractors,Bulgaria,2021,0.0
868,Road tractors,Bulgaria,2022,0.0
869,Road tractors,Bulgaria,2023,0.0
870,Road tractors,Cyprus,2014,0.0
871,Road tractors,Cyprus,2015,0.0
872,Road tractors,Cyprus,2016,0.0
873,Road tractors,Cyprus,2017,0.0
874,Road tractors,Cyprus,2018,0.0
875,Road tractors,Cyprus,2019,0.0
876,Road tractors,Cyprus,2020,0.0
877,Road tractors,Cyprus,2021,0.0
878,Road tractors,Cyprus,2022,0.0
879,Road tractors,Cyprus,2023,0.0
880,Road tractors,Czechia,2014,0.0
881,Road tractors,Czechia,2015,0.0
882,Road tractors,Czechia,2016,0.0
883,Road tractors,Czechia,2017,0.0
884,Road tractors,Czechia,2018,0.0
885,Road tractors,Czechia,2019,0.0
886,Road tractors,Czechia,2020,0.0
887,Road tractors,Czechia,2021,0.0
888,Road tractors,Czechia,2022,0.0
889,Road tractors,Czechia,2023,0.0
890,Road tractors,Germany,2014,0.011
891,Road tractors,Germany,2015,0.0
892,Road tractors,Germany,2016,0.0
893,Road tractors,Germany,2017,0.026
894,Road tractors,Germany,2018,0.005
895,Road tractors,Germany,2019,0.01
896,Road tractors,Germany,2020,0.019
897,Road tractors,Germany,2021,0.013
898,Road tractors,Germany,2022,0.159
899,Road tractors,Germany,2023,0.704
900,Road tractors,Denmark,2014,0.0
901,Road tractors,Denmark,2015,0.0
902,Road tractors,Denmark,2016,0.0
903,Road tractors,Denmark,2017,0.0
904,Road tractors,Denmark,2018,0.0
905,Road tractors,Denmark,2019,0.0
906,Road tractors,Denmark,2020,0.0
907,Road tractors,Denmark,2021,0.049
908,Road tractors,Denmark,2022,0.039
909,Road tractors,Denmark,2023,1.912
910,Road tractors,Estonia,2014,0.0
911,Road tractors,Estonia,2015,0.0
912,Road tractors,Estonia,2016,0.0
913,Road tractors,Estonia,2017,0.0
914,Road tractors,Estonia,2018,0.0
915,Road tractors,Estonia,2019,0.0
916,Road tractors,Estonia,2020,0.0
917,Road tractors,Estonia,2021,0.0
918,Road tractors,Estonia,2022,0.0
919,Road tractors,Estonia,2023,0.169
920,Road tractors,Greece,2014,0.0
921,Road tractors,Greece,2015,0.0
922,Road tractors,Greece,2016,0.0
923,Road tractors,Greece,2017,0.0
924,Road tractors,Greece,2018,0.0
925,Road tractors,Greece,2019,0.0
926,Road tractors,Greece,2020,0.0
927,Road tractors,Greece,2021,0.0
928,Road tractors,Greece,2022,0.0
929,Road tractors,Greece,2023,0.0
930,Road tractors,Spain,2014,0.013
931,Road tractors,Spain,2015,0.0
932,Road tractors,Spain,2016,0.0
933,Road tractors,Spain,2017,0.005
934,Road tractors,Spain,2018,0.102
935,Road tractors,Spain,2019,0.247
936,Road tractors,Spain,2020,0.094
937,Road tractors,Spain,2021,0.076
938,Road tractors,Spain,2022,0.154
939,Road tractors,Spain,2023,0.457
940,Road tractors,European Union (Avg),2014,0.005
941,Road tractors,European Union (Avg),2015,0.0
942,Road tractors,European Union (Avg),2016,0.0
943,Road tractors,European Union (Avg),2017,0.008
944,Road tractors,European Union (Avg),2018,0.015
945,Road tractors,European Union (Avg),2019,0.03
946,Road tractors,European Union (Avg),2020,0.03
947,Road tractors,European Union (Avg),2021,0.033
948,Road tractors,European Union (Avg),2022,0.091
949,Road tractors,European Union (Avg),2023,0.456
950,Road tractors,Finland,2014,0.3
951,Road tractors,Finland,2015,0.0
952,Road tractors,Finland,2016,0.0
953,Road tractors,Finland,2017,0.0
954,Road tractors,Finland,2018,0.0
955,Road tractors,Finland,2019,0.0
956,Road tractors,Finland,2020,0.0
957,Road tractors,Finland,2021,0.0
958,Road tractors,Finland,2022,0.0
959,Road tractors,Finland,2023,0.953
960,Road tractors,France,2014,0.0
961,Road tractors,France,2015,0.0
962,Road tractors,France,2016,0.0
963,Road tractors,France,2017,0.0
964,Road tractors,France,2018,0.0
965,Road tractors,France,2019,0.003
966,Road tractors,France,2020,0.033
967,Road tractors,France,2021,0.039
968,Road tractors,France,2022,0.015
969,Road tractors,France,2023,0.217
970,Road tractors,Croatia,2014,0.0
971,Road tractors,Croatia,2015,0.0
972,Road tractors,Croatia,2016,0.0
973,Road tractors,Croatia,2017,0.0
974,Road tractors,Croatia,2018,0.0
975,Road tractors,Croatia,2019,0.0
976,Road tractors,Croatia,2020,0.0
977,Road tractors,Croatia,2021,0.0
978,Road tractors,Croatia,2022,0.0
979,Road tractors,Croatia,2023,0.0
980,Road tractors,Hungary,2014,0.0
981,Road tractors,Hungary,2015,0.0
982,Road tractors,Hungary,2016,0.0
983,Road tractors,Hungary,2017,0.015
984,Road tractors,Hungary,2018,0.075
985,Road tractors,Hungary,2019,0.0
986,Road tractors,Hungary,2020,0.021
987,Road tractors,Hungary,2021,0.114
988,Road tractors,Hungary,2022,0.034
989,Road tractors,Hungary,2023,0.074
990,Road tractors,Ireland,2014,0.0
991,Road tractors,Ireland,2015,0.0
992,Road tractors,Ireland,2016,0.0
993,Road tractors,Ireland,2017,0.0
994,Road tractors,Ireland,2018,0.0
995,Road tractors,Ireland,2019,0.0
996,Road tractors,Ireland,2020,0.0
997,Road tractors,Ireland,2021,0.0
998,Road tractors,Ireland,2022,0.0
999,Road tractors,Ireland,2023,0.429
1000,Road tractors,Italy,2014,0.0
1001,Road tractors,Italy,2015,0.0
1002,Road tractors,Italy,2016,0.0
1003,Road tractors,Italy,2017,0.0
1004,Road tractors,Italy,2018,0.0
1005,Road tractors,Italy,2019,0.008
1006,Road tractors,Italy,2020,0.01
1007,Road tractors,Italy,2021,0.021
1008,Road tractors,Italy,2022,0.035
1009,Road tractors,Italy,2023,0.099
1010,Road tractors,Lithuania,2014,0.0
1011,Road tractors,Lithuania,2015,0.0
1012,Road tractors,Lithuania,2016,0.0
1013,Road tractors,Lithuania,2017,0.0
1014,Road tractors,Lithuania,2018,0.0
1015,Road tractors,Lithuania,2019,0.0
1016,Road tractors,Lithuania,2020,0.0
1017,Road tractors,Lithuania,2021,0.0
1018,Road tractors,Lithuania,2022,0.0
1019,Road tractors,Lithuania,2023,0.051
1020,Road tractors,Luxembourg,2014,0.0
1021,Road tractors,Luxembourg,2015,0.0
1022,Road tractors,Luxembourg,2016,0.0
1023,Road tractors,Luxembourg,2017,0.0
1024,Road tractors,Luxembourg,2018,0.0
1025,Road tractors,Luxembourg,2019,0.0
1026,Road tractors,Luxembourg,2020,0.0
1027,Road tractors,Luxembourg,2021,0.0
1028,Road tractors,Luxembourg,2022,0.0
1029,Road tractors,Luxembourg,2023,0.0
1030,Road tractors,Latvia,2014,0.0
1031,Road tractors,Latvia,2015,0.0
1032,Road tractors,Latvia,2016,0.0
1033,Road tractors,Latvia,2017,0.0
1034,Road tractors,Latvia,2018,0.0
1035,Road tractors,Latvia,2019,0.0
1036,Road tractors,Latvia,2020,0.0
1037,Road tractors,Latvia,2021,0.0
1038,Road tractors,Latvia,2022,0.0
1039,Road tractors,Latvia,2023,0.0
1040,Road tractors,Malta,2014,0.0
1041,Road tractors,Malta,2015,0.0
1042,Road tractors,Malta,2016,0.0
1043,Road tractors,Malta,2017,0.0
1044,Road tractors,Malta,2018,0.0
1045,Road tractors,Malta,2019,0.0
1046,Road tractors,Malta,2020,0.0
1047,Road tractors,Malta,2021,0.0
1048,Road tractors,Malta,2022,0.0
1049,Road tractors,Malta,2023,0.0
1050,Road tractors,Netherlands,2014,0.0
1051,Road tractors,Netherlands,2015,0.0
1052,Road tractors,Netherlands,2016,0.0
1053,Road tractors,Netherlands,2017,0.01
1054,Road tractors,Netherlands,2018,0.029
1055,Road tractors,Netherlands,2019,0.086
1056,Road tractors,Netherlands,2020,0.084
1057,Road tractors,Netherlands,2021,0.081
1058,Road tractors,Netherlands,2022,0.101
1059,Road tractors,Netherlands,2023,1.89
1060,Road tractors,Poland,2014,0.0
1061,Road tractors,Poland,2015,0.0
1062,Road tractors,Poland,2016,0.0
1063,Road tractors,Poland,2017,0.0
1064,Road tractors,Poland,2018,0.0
1065,Road tractors,Poland,2019,0.0
1066,Road tractors,Poland,2020,0.0
1067,Road tractors,Poland,2021,0.0
1068,Road tractors,Poland,2022,0.0
1069,Road tractors,Poland,2023,0.007
1070,Road tractors,Portugal,2014,0.0
1071,Road tractors,Portugal,2015,0.0
1072,Road tractors,Portugal,2016,0.0
1073,Road tractors,Portugal,2017,0.0
1074,Road tractors,Portugal,2018,0.0
1075,Road tractors,Portugal,2019,0.0
1076,Road tractors,Portugal,2020,0.0
1077,Road tractors,Portugal,2021,0.0
1078,Road tractors,Portugal,2022,0.0
1079,Road tractors,Portugal,2023,0.0
1080,Road tractors,Romania,2014,0.0
1081,Road tractors,Romania,2015,0.0
1082,Road tractors,Romania,2016,0.0
1083,Road tractors,Romania,2017,0.0
